UDI,Product_ID,Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure,TWF,HDF,PWF,OSF,RNF,Air_temperature__K__rollmean_5,Air_temperature__K__rollstd_5,Air_temperature__K__rollvar_5,Air_temperature__K__rollmean_10,Air_temperature__K__rollstd_10,Air_temperature__K__rollvar_10,Process_temperature__K__rollmean_5,Process_temperature__K__rollstd_5,Process_temperature__K__rollvar_5,Process_temperature__K__rollmean_10,Process_temperature__K__rollstd_10,Process_temperature__K__rollvar_10,Rotational_speed__rpm__rollmean_5,Rotational_speed__rpm__rollstd_5,Rotational_speed__rpm__rollvar_5,Rotational_speed__rpm__rollmean_10,Rotational_speed__rpm__rollstd_10,Rotational_speed__rpm__rollvar_10,Torque__Nm__rollmean_5,Torque__Nm__rollstd_5,Torque__Nm__rollvar_5,Torque__Nm__rollmean_10,Torque__Nm__rollstd_10,Torque__Nm__rollvar_10,Tool_wear__min__rollmean_5,Tool_wear__min__rollstd_5,Tool_wear__min__rollvar_5,Tool_wear__min__rollmean_10,Tool_wear__min__rollstd_10,Tool_wear__min__rollvar_10,Air_temperature__K__rollmin_5,Air_temperature__K__rollmax_5,Air_temperature__K__rollmin_10,Air_temperature__K__rollmax_10,Process_temperature__K__rollmin_5,Process_temperature__K__rollmax_5,Process_temperature__K__rollmin_10,Process_temperature__K__rollmax_10,Rotational_speed__rpm__rollmin_5,Rotational_speed__rpm__rollmax_5,Rotational_speed__rpm__rollmin_10,Rotational_speed__rpm__rollmax_10,Torque__Nm__rollmin_5,Torque__Nm__rollmax_5,Torque__Nm__rollmin_10,Torque__Nm__rollmax_10,Tool_wear__min__rollmin_5,Tool_wear__min__rollmax_5,Tool_wear__min__rollmin_10,Tool_wear__min__rollmax_10,predicted_failure
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,0.0,298.1,0.0,0.0,308.6,0.0,0.0,308.6,0.0,0.0,1551.0,0.0,0.0,1551.0,0.0,0.0,42.8,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.1,298.1,298.1,298.1,308.6,308.6,308.6,308.6,1551.0,1551.0,1551.0,1551.0,42.8,42.8,42.8,42.8,0.0,0.0,0.0,0.0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.0707106781186507,0.0049999999999994,298.15,0.0707106781186507,0.0049999999999994,308.65,0.0707106781186507,0.0049999999999994,308.65,0.0707106781186507,0.0049999999999994,1479.5,101.1162697096763,10224.5,1479.5,101.1162697096763,10224.5,44.55,2.4748737341529163,6.125,44.55,2.4748737341529163,6.125,1.5,2.1213203435596424,4.5,1.5,2.1213203435596424,4.5,298.1,298.2,298.1,298.2,308.6,308.7,308.6,308.7,1408.0,1551.0,1408.0,1551.0,42.8,46.3,42.8,46.3,0.0,3.0,0.0,3.0,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.0577350269189469,0.0033333333333315,298.1333333333334,0.0577350269189469,0.0033333333333315,308.6,0.0999999999999801,0.009999999999996,308.6,0.0999999999999801,0.009999999999996,1485.6666666666667,72.29338374521788,5226.333333333333,1485.6666666666667,72.29338374521788,5226.333333333333,46.16666666666666,3.302019584032375,10.903333333333338,46.16666666666666,3.302019584032375,10.903333333333338,2.6666666666666665,2.516611478423583,6.333333333333333,2.6666666666666665,2.516611478423583,6.333333333333333,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,42.8,49.4,42.8,49.4,0.0,5.0,0.0,5.0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.0577350269189538,0.0033333333333323,298.15,0.0577350269189538,0.0033333333333323,308.6,0.0816496580927563,0.006666666666664,308.6,0.0816496580927563,0.006666666666664,1472.5,64.63487190879755,4177.666666666667,1472.5,64.63487190879755,4177.666666666667,44.5,4.287190222045203,18.38,44.5,4.287190222045203,18.38,3.75,2.9860788111948198,8.916666666666666,3.75,2.9860788111948198,8.916666666666666,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,39.5,49.4,39.5,49.4,0.0,7.0,0.0,7.0,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.16,0.054772255750513,0.0029999999999996,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,308.62,0.0836660026534045,0.0069999999999994,1459.6,62.970628073729735,3965.2999999999993,1459.6,62.970628073729735,3965.2999999999993,43.6,4.223150482755735,17.835,43.6,4.223150482755735,17.835,4.8,3.492849839314596,12.2,4.8,3.492849839314596,12.2,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,39.5,49.4,39.5,49.4,0.0,9.0,0.0,9.0,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.16,0.054772255750513,0.0029999999999996,298.15000000000003,0.0547722557505038,0.0029999999999985,308.62,0.0836660026534045,0.0069999999999994,308.6166666666667,0.0752772652709018,0.0056666666666657,1434.4,37.17929531338641,1382.299999999997,1453.8333333333333,58.06691542235273,3371.766666666665,43.42,4.284506972803289,18.357000000000003,43.31666666666666,3.840529477385465,14.74966666666667,7.0,3.1622776601683795,10.0,5.833333333333333,4.02077936060494,16.166666666666668,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1498.0,1408.0,1551.0,39.5,49.4,39.5,49.4,3.0,11.0,0.0,11.0,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14,0.0547722557505013,0.0029999999999983,298.1428571428572,0.0534522483824666,0.0028571428571409,308.6,0.0707106781186326,0.0049999999999968,308.61428571428576,0.0690065559342277,0.0047619047619036,1464.4,62.46839200747842,3902.299999999994,1468.7142857142858,66.02957490325653,4359.904761904764,42.64,3.972782400283208,15.783000000000012,43.18571428571429,3.5229857466967665,12.411428571428576,9.2,3.492849839314596,12.2,7.0,4.795831523312719,23.0,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1558.0,1408.0,1558.0,39.5,49.4,39.5,49.4,5.0,14.0,0.0,14.0,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.14,0.0547722557505013,0.0029999999999983,298.1375,0.0517549169506555,0.0026785714285692,308.62,0.0447213595500075,0.002000000000001,308.6125,0.0640869944461577,0.0041071428571418,1470.2,67.51073988633212,4557.699999999993,1476.0,64.51135005341534,4161.714285714291,40.8,1.2708265027138923,1.6150000000000229,42.8125,3.42821798773482,11.752678571428577,11.4,3.646916505762094,13.3,8.125,5.462534733462636,29.839285714285715,298.1,298.2,298.1,298.2,308.6,308.7,308.5,308.7,1408.0,1558.0,1408.0,1558.0,39.5,42.4,39.5,49.4,7.0,16.0,0.0,16.0,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.16,0.0894427190999818,0.0079999999999982,298.1555555555556,0.0726483157256677,0.0052777777777763,308.64,0.054772255750564,0.0030000000000052,308.6222222222222,0.0666666666666588,0.0044444444444434,1517.0,105.62433431742892,11156.499999999993,1497.2222222222222,87.720832442724,7694.94444444446,38.62,5.697543330243311,32.462000000000046,41.23333333333333,5.720795399243013,32.72750000000002,13.6,3.646916505762094,13.3,9.22222222222222,6.078194176270157,36.94444444444444,298.1,298.3,298.1,298.3,308.6,308.7,308.5,308.7,1408.0,1667.0,1408.0,1667.0,28.6,42.4,28.6,49.4,9.0,18.0,0.0,18.0,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.22,0.1788854381999675,0.0319999999999943,298.19,0.1286683937707858,0.0165555555555539,308.7,0.1732050807569382,0.0300000000000174,308.66,0.1349897115421144,0.0182222222222232,1583.6,123.23067799862174,15185.799999999996,1521.6,113.06065235576496,12782.71111111114,36.22,7.278873539222953,52.98200000000008,39.91,6.826655273427996,46.60322222222227,16.0,3.8078865529319534,14.5,10.4,6.834552736727628,46.71111111111111,298.1,298.5,298.1,298.5,308.6,309.0,308.5,309.0,1425.0,1741.0,1408.0,1741.0,28.0,42.4,28.0,49.4,11.0,21.0,0.0,21.0,0
